date,Total New Cases
28/09/21,0
29/09/21,0
30/09/21,0
01/10/21,0
02/10/21,0
03/10/21,12784889
04/10/21,0
05/10/21,0
06/10/21,0
07/10/21,0
08/10/21,0
09/10/21,0
10/10/21,12206845
11/10/21,0
12/10/21,0
13/10/21,0
14/10/21,0
15/10/21,0
16/10/21,0
17/10/21,11984990
18/10/21,0
19/10/21,0
20/10/21,0
21/10/21,0
22/10/21,0
23/10/21,0
24/10/21,12640347
25/10/21,0
26/10/21,0
27/10/21,0
28/10/21,0
29/10/21,0
30/10/21,0
31/10/21,13285158
01/11/21,0
02/11/21,0
03/11/21,0
04/11/21,0
05/11/21,0
06/11/21,0
07/11/21,13649319
08/11/21,0
09/11/21,0
10/11/21,0
11/11/21,0
12/11/21,0
13/11/21,0
14/11/21,15119449
15/11/21,0
16/11/21,0
17/11/21,0
18/11/21,0
19/11/21,0
20/11/21,0
21/11/21,16993712
22/11/21,0
23/11/21,0
24/11/21,0
25/11/21,0
26/11/21,0
27/11/21,0
28/11/21,17971266
29/11/21,0
30/11/21,0
01/12/21,0
02/12/21,0
03/12/21,0
04/12/21,0
05/12/21,18936504
06/12/21,0
07/12/21,0
08/12/21,0
09/12/21,0
10/12/21,0
11/12/21,0
12/12/21,18995947
13/12/21,0
14/12/21,0
15/12/21,0
16/12/21,0
17/12/21,0
18/12/21,0
19/12/21,20569287
20/12/21,0
21/12/21,0
22/12/21,0
23/12/21,0
24/12/21,0
25/12/21,0
26/12/21,26517479
27/12/21,0
28/12/21,0
29/12/21,0
30/12/21,0
31/12/21,0
01/01/22,0
02/01/22,45814088
03/01/22,0
04/01/22,0
05/01/22,0
06/01/22,0
07/01/22,0
08/01/22,0
09/01/22,72026916
10/01/22,0
11/01/22,0
12/01/22,0
13/01/22,0
14/01/22,0
15/01/22,0
16/01/22,89244843
17/01/22,0
18/01/22,0
19/01/22,0
20/01/22,0
21/01/22,0
22/01/22,0
23/01/22,102336304
24/01/22,0
25/01/22,0
26/01/22,0
27/01/22,0
28/01/22,0
29/01/22,0
30/01/22,102486879
31/01/22,0
01/02/22,0
02/02/22,0
03/02/22,0
04/02/22,0
05/02/22,0
06/02/22,87262011
07/02/22,0
08/02/22,0
09/02/22,0
10/02/22,0
11/02/22,0
12/02/22,0
13/02/22,69371580
14/02/22,0
15/02/22,0
16/02/22,0
17/02/22,0
18/02/22,0
19/02/22,0
20/02/22,55751365
21/02/22,0
22/02/22,0
23/02/22,0
24/02/22,0
25/02/22,0
26/02/22,0
27/02/22,47605743
28/02/22,0
01/03/22,0
02/03/22,0
03/03/22,0
04/03/22,0
05/03/22,0
06/03/22,46930885
07/03/22,0
08/03/22,0
09/03/22,0
10/03/22,0
11/03/22,0
12/03/22,0
13/03/22,51051809
14/03/22,0
15/03/22,0
16/03/22,0
17/03/22,0
18/03/22,0
19/03/22,0
20/03/22,53732985
21/03/22,0
22/03/22,0
23/03/22,0
24/03/22,0
25/03/22,0
26/03/22,0
27/03/22,48316763
28/03/22,0
29/03/22,0
30/03/22,0
31/03/22,0
01/04/22,0
02/04/22,0
03/04/22,41239247
04/04/22,0
05/04/22,0
06/04/22,0
07/04/22,0
08/04/22,0
09/04/22,0
10/04/22,31865231
11/04/22,0
12/04/22,0
13/04/22,0
14/04/22,0
15/04/22,0
16/04/22,0
17/04/22,25312965
18/04/22,0
19/04/22,0
20/04/22,0
21/04/22,0
22/04/22,0
23/04/22,0
24/04/22,20943202
25/04/22,0
26/04/22,0
27/04/22,0
28/04/22,0
29/04/22,0
30/04/22,0
01/05/22,17771591
02/05/22,0
03/05/22,0
04/05/22,0
05/05/22,0
06/05/22,0
07/05/22,0
08/05/22,15906896
09/05/22,0
10/05/22,0
11/05/22,0
12/05/22,0
13/05/22,0
14/05/22,0
15/05/22,17177603
16/05/22,0
17/05/22,0
18/05/22,0
19/05/22,0
20/05/22,0
21/05/22,0
22/05/22,16187718
23/05/22,0
24/05/22,0
25/05/22,0
26/05/22,0
27/05/22,0
28/05/22,0
29/05/22,14333399
30/05/22,0
31/05/22,0
01/06/22,0
02/06/22,0
03/06/22,0
04/06/22,0
05/06/22,13883215
06/06/22,0
07/06/22,0
08/06/22,0
09/06/22,0
10/06/22,0
11/06/22,0
12/06/22,15075741
13/06/22,0
14/06/22,0
15/06/22,0
16/06/22,0
17/06/22,0
18/06/22,0
19/06/22,16370110
20/06/22,0
21/06/22,0
22/06/22,0
23/06/22,0
24/06/22,0
25/06/22,0
26/06/22,20203585
27/06/22,0
28/06/22,0
29/06/22,0
30/06/22,0
01/07/22,0
02/07/22,0
03/07/22,23568262
04/07/22,0
05/07/22,0
06/07/22,0
07/07/22,0
08/07/22,0
09/07/22,0
10/07/22,28178191
11/07/22,0
12/07/22,0
13/07/22,0
14/07/22,0
15/07/22,0
16/07/22,0
17/07/22,30597785
